Date,Close,High,Low,Open,Volume,Adj Close
8/15/13,2081.879883,2108.405029,2079.968994,2099.279053,99400,2081.879883
8/16/13,2068.451904,2198.8479,2061.654053,2075.98291,153100,2068.451904
8/19/13,2085.602051,2091.13208,2052.702881,2055.12793,97400,2085.602051
8/20/13,2072.594971,2098.97998,2066.072021,2081.965088,107400,2072.594971
8/21/13,2072.960938,2076.316895,2056.913086,2076.270996,87400,2072.960938
8/22/13,2067.124023,2083.333008,2062.366943,2069.312988,90900,2067.124023
8/23/13,2057.458008,2079.845947,2029.36499,2075.928955,112400,2057.458008
8/26/13,2096.474121,2097.343018,2056.133057,2061.416992,119900,2096.474121
8/27/13,2103.565918,2105.375,2090.425049,2095.439941,126400,2103.565918
8/28/13,2101.301025,2113.815918,2080.861084,2092.311035,161400,2101.301025
8/29/13,2097.227051,2110.894043,2088.236084,2108.436035,133200,2097.227051
8/30/13,2098.38208,2114.393066,2089.094971,2097.217041,170000,2098.38208
9/2/13,2098.447998,2108.683105,2078.455078,2104.090088,149200,2098.447998
9/3/13,2123.112061,2123.845947,2095.455078,2100.448975,138800,2123.112061
9/4/13,2127.61792,2132.996094,2115.75293,2121.679932,142000,2127.61792
9/5/13,2122.429932,2127.85498,2115.236084,2125.254883,126500,2122.429932
9/6/13,2139.99292,2143.243896,2119.020996,2119.333008,143200,2139.99292
9/9/13,2212.516113,2218.529053,2151.346924,2151.346924,219400,2212.516113
9/10/13,2237.983887,2238.551025,2202.815918,2214.813965,237200,2237.983887
9/11/13,2241.268066,2258.074951,2233.00293,2244.961914,244300,2241.268066
9/12/13,2255.604004,2270.268066,2226.288086,2236.170898,209700,2255.604004
9/13/13,2236.217041,2259.424072,2228.48291,2251.461914,172000,2236.217041
9/16/13,2231.400879,2248.470947,2226.170898,2244.462891,154800,2231.400879
9/17/13,2185.560059,2230.927979,2184.922119,2230.387939,154500,2185.560059
9/18/13,2191.851074,2195.904053,2172.042969,2185.936035,115100,2191.851074
9/23/13,2221.043945,2223.068115,2198.335938,2199.361084,133200,2221.043945
9/24/13,2207.531006,2219.542969,2187.236084,2219.467041,160400,2207.531006
9/25/13,2198.514893,2217.974121,2193.721924,2206.225098,160200,2198.514893
9/26/13,2155.809082,2192.226074,2154.720947,2192.226074,140400,2155.809082
9/27/13,2160.0271,2165.7771,2149.593994,2150.960938,105400,2160.0271
9/30/13,2174.665039,2176.302979,2165.162109,2167.733887,92800,2174.665039
10/8/13,2198.198975,2200.018066,2161.489014,2171.904053,126700,2198.198975
10/9/13,2211.769043,2212.346924,2185.180908,2191.39209,130900,2211.769043
10/10/13,2190.928955,2214.592041,2186.47998,2214.405029,149800,2190.928955
10/11/13,2228.145996,2228.871094,2200.530029,2201.408936,156900,2228.145996
10/14/13,2237.772949,2242.983887,2226.403076,2232.218018,166000,2237.772949
10/15/13,2233.412109,2240.25,2221.138916,2237.930908,153700,2233.412109
10/16/13,2193.073975,2228.113037,2183.403076,2228.113037,154600,2193.073975
10/17/13,2188.541992,2211.030029,2183.246094,2201.709961,126800,2188.541992
10/18/13,2193.780029,2203.291016,2184.360107,2188.714111,103700,2193.780029
10/21/13,2229.237061,2230.284912,2190.394043,2198.114014,136700,2229.237061
10/22/13,2210.6521,2227.341064,2204.243896,2227.341064,149100,2210.6521
10/23/13,2183.106934,2226.846924,2177.725098,2213.273926,146300,2183.106934
10/24/13,2164.322021,2183.412109,2159.871094,2178.820068,103000,2164.322021
10/25/13,2132.955078,2170.612061,2122.677979,2163.688965,113900,2132.955078
10/28/13,2133.868896,2140.957031,2123.069092,2135.878906,88400,2133.868896
10/29/13,2128.864014,2163.656982,2093.197021,2135.226074,143100,2128.864014
10/30/13,2160.462891,2161.935059,2121.841064,2126.689941,119600,2160.462891
10/31/13,2141.614014,2155.510986,2137.466064,2155.510986,108100,2141.614014
11/1/13,2149.562012,2157.312988,2132.628906,2139.879883,89100,2149.562012
11/4/13,2149.634033,2160.577881,2143.207031,2156.086914,76100,2149.634033
11/5/13,2157.23999,2158.147949,2124.844971,2139.836914,91900,2157.23999
11/6/13,2139.606934,2166.170898,2138.780029,2149.389893,100500,2139.606934
11/7/13,2129.399902,2141.600098,2119.186035,2136.626953,81800,2129.399902
11/8/13,2106.126953,2128.581055,2103.51001,2120.923096,83100,2106.126953
11/11/13,2109.470947,2117.280029,2093.625977,2103.299072,69700,2109.470947
11/12/13,2126.771973,2127.937988,2108.395996,2110.724121,79400,2126.771973
11/13/13,2087.940918,2117.912109,2086.006104,2117.885986,88300,2087.940918
11/14/13,2100.506104,2102.379883,2078.988037,2087.118896,83800,2100.506104
11/15/13,2135.826904,2153.212891,2100.785889,2100.899902,125900,2135.826904
11/18/13,2197.218994,2198.315918,2143.768066,2147.373047,157500,2197.218994
11/19/13,2193.125,2203.295898,2186.114014,2198.318115,125000,2193.125
11/20/13,2206.613037,2207.10498,2186.64209,2201.474121,119000,2206.613037
11/21/13,2205.766113,2206.531006,2177.735107,2197.008057,137200,2205.766113
11/22/13,2196.37793,2211.065918,2188.76709,2206.469971,113800,2196.37793
11/25/13,2186.11499,2209.147949,2181.417969,2186.058105,108300,2186.11499
11/26/13,2183.072998,2192.579102,2176.177002,2184.332031,100500,2183.072998
11/27/13,2201.070068,2207.616943,2176.846924,2181.725098,115400,2201.070068
11/28/13,2219.37207,2234.386963,2202.623047,2204.37793,134500,2219.37207
11/29/13,2220.503906,2224.944092,2212.262939,2221.61792,107000,2220.503906
12/2/13,2207.371094,2231.920898,2172.633057,2203.12207,174300,2207.371094
12/3/13,2222.669922,2227.925049,2193.250977,2196.823975,113500,2222.669922
12/4/13,2251.761963,2260.871094,2215.916016,2219.965088,157300,2251.761963
12/5/13,2247.062988,2255.260986,2239.144043,2252.7229,122000,2247.062988
